Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.1013
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.7168
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.6338
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.3386
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.0103
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.4013
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.1339
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.427
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.1002
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-10.9237
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.9189
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.0755
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,12.3054
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,7.3132
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-2.9633
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.1061
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.8785
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.8489
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.7709
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.3016
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.4943
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.1129
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.0129
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.741
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.8532
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.1642
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.8587
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.5961
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.5556
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.2811
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.1659
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.5298
